Company Name,Data Descriptions,Tags,Date,Link,Data Volume
MassDevelopment,"Accounting, budget, financial data., Personal Data., Contract data and NDA’s., Accidents., Files from CFO PC., Operational and business files., Email and msg archives.","usa, finance","Jan 17, 2025",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/massdevelopment.com/,4 Tb
Fish Nelson & Holden,"Medical and lab tests client’s files., Accounting, budget, financial data., Contract data and NDA’s., Accidents., Files from Top management PC., Operational and business files., Email and msg archives.","us, law","Dec 30, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/fishnelson.com/,1 Tb
LTI Trucking Services,"Personal Data., Accounting, budget, financial data., Technical data., Contract data and NDA’s., Accidents., Files from CFO PC., Operational and business files., Email and msg archives.","usa, transportation","Dec 23, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/ltitrucking.com/,1.2 Tb
Kellerhals Ferguson Kroblin PLLC,"Clients Personal Data., Employees Personal Data, Accounting Data, Network users folders, Mailboxes","usa, lawyers","Dec 23, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/kellfer.com/,170 Gb
St Clair Orthopaedics and Sports Medicine P.C.,"370 Gb: client medical and personal data, employees personal data, network users folders., 850 Gb: SQL Databases (full) whith personal and medical data, 20 Gb: Medical data from “Hospital access PACS” potrals.","usa, health","Dec 19, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/stclairortho.com/,1.2 Tb
Caframo Limited.,"Accounting data., Personal data of employees., Contracts and NDAs., Operational data., Supply-Chain data., Lists of clients and vendors., Technical data., File server data., Files from management PC’s.","usa, manufacturing","Dec 17, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/caframo.com/,1.5 Tb
TWRU CPAs & Financial Advisors,"Firm’s financials, Clients’ financials, Quickbooks data, HR data, Business contracts and agreements, PII and PHI records, Mailboxes & internal and external email correspondence","usa, accounting, business, finance","Dec 14, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/twru.com/,N/A
"Russell Law Firm, LLC","Finance data, HR data, Casefiles, Court and litigations’ data, Exhibits and evidences, PII and PHI records, Clients’ private and confidential data, Internal and external email correspondence","usa, law, legal","Dec 9, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/dannyrusselllaw.com/,N/A
Healthcare Management Systems,"Company’s and clients’ finance data, Company’s and clients’ HR data, Quickbooks data, PII and PHI records, Business contracts and agreements, Company clients’ patients records, Mailboxes & internal and external email correspondence","usa, medicine, healthcare","Dec 9, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/hcmsnapa.com/,N/A
"Giordano, DelCollo, Werb & Gagne, LLC.","Accounting data., Legal paperwork., Clients financial, personal and medical data., Lists of clients., Personal data of employees., Contracts and NDAs, Passports and ID cards., Operational data., Business files., File server data., Files from management Folders.","usa, law","Dec 9, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/gdwlawfirm.com/,1.5 Tb
Cottrell Fletcher & Cottrell P.C.,"Accounting data., Legal paperwork., Clients financial, personal and medical data., Lists of clients., Personal data of employees., Contracts and NDAs, Passports and ID cards., Operational data., Business files., File server data., Files from management Folders.","usa, law","Dec 9, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/cottrellaw.com/,1.5 Tb
"ATSG, Inc","Finance data, HR data, Incidents & casefiles, Court and litigations’ data, Exhibits, Clients’ PII & PHI records, Mailboxes, Internal and external email correspondence","usa, it","Dec 9, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/atsg.net/,1.9 Tb
Physicians' Primary Care of Southwest Florida,"Operational data, Medical data (medical records from general fileserver and company software, parsed data from SQL data bases), Contracts and NDAs, Passports and ID’s, Employees records, Business files, Accounting data, Email archives, SQL data bases, File server data, Network users folders, including company management","usa, healthcare","Dec 8, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/ppcsfl.com/,1.8 Tb
Star Shuttle Inc.,"Employees and Drivers Personal Data., Accounting, Budgets, Financial Data., Technical Data., Contracts and NDA’s., Accidents., Files from Management PC’s, including John Walker folders., Operational and business files., Email and msg archives.","usa, transportation","Dec 7, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/starshuttle.com/,500 Gb
ICWI,"Clients Personal Data., Employees Personal Data., Accounting Data.","jamaica, insurance","Dec 3, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/icwi.com/,3.5 Tb
"L & B Transport, L.L.C.","Data of affiliated companies like Breaux Bridge Land Investment LLC, Breaux Bridge Gaming LLC, Super Lucky Louies Casino LLC, Grand Paradise LLC, Krawdaddy LA LLC, etc., Wide financial data, HR data, Partners’ and vendors’ data, Customers’ and clients’ data, PII and PHI records, Numerous accidents and incidents data, Mailboxes & internal and external email correspondence, Databases","usa, logistics","Dec 2, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/landbtransport.com/,N/A
"Trinity Petroleum Management, LLC","Accounting data of other companies., Personal data of employees and contractors of other companies., Contracts and NDAs, Passports and ID cards, Operational data., Business files., File server data., Silverback, Exaro, Genesis, Ursa, Nucor, FELIX_II, RimRock, Confluence, ROG-Denver, Evolution, Coleman, Axia_II, 1099 PROCESSING, Valkyrie, West_Energy, Cirque, Validus, NNOGC, Oak_Prairie","usa, accounting","Nov 22, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/trinitymgt.com/,1.2 Tb
Corporate Job Bank,"Customer data banks, Passports and ID’s, Operational data., Business files., File server data.","usa, staffing","Nov 22, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/corporatejobbank.com/,200 Gb
Premier Work Support,"Candidates personal data., Medical data, Financial data., Clients / partners / vendors / providers private data., Fileserver data., Folders of network users.","uk, staffing","Nov 21, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/premierworksupport.co.uk/,700 Gb
Pearl Cohen,"Company customer data, including technical customer data, briefs, new customers, prospective customers, paperwork, negotiations, etc.., Project data, HR data, Various business files, notes, instructions and manuals., Business development data., Technical data., MSG and Email archives up to 2024., Operational SQL backups., Fileserver Data.","usa, lawyers","Nov 21, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/pearlcohen.com/,1.2 Tb
Lein Law Offices,"Personal Data., Financial documents., Contract data and NDA’s., Business correspondence., Files from CFO PC., Confidential customer information., Email and msg archives., Court cases","usa, lawyers","Nov 21, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/leinlawoffices.com/,730 Gb
Silverback Exploration,"Accounting Data., Personal Data., Payroll data., Contracts and lease data., Operational data","usa, energy","Nov 19, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/silverbackexp.com/,N/A
Amherstburg Family Health,"Clients Personal Data., Employees Personal Data, SQL base, Network users folders","canada, health","Nov 19, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/afht.ca/,624 Gb
"Palmisano & Goodman, P.A.","Finance data, HR data, Casefiles, Court and litigations’ data, Exhibits and evidences, PII and PHI records, Clients’ confidential data, Mailboxes & internal and external email correspondence","usa, law, legal","Nov 18, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/palmisanoandgoodman.com/,N/A
"Wayne Wright, LLP.","Personal Data., Accounting, budget, financial data., Contract data and NDA’s., Accidents., Files from CFO PC., Email and msg archives.","usa, law","Nov 11, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/waynewright.com/,1 Tb
River Region Cardiology Associates,"Finance data, HR data, Multiple patients’ PII and PHI records, Partners / vendors / providers private data, Mailboxes and internal & external email correspondence, Databases","usa, healthcare","Nov 11, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/rrcamd.com/,1.2 Tb
Marzzacco Niven & Associates,"Personal Data., Finance data., HR data., Casefiles., Court and litigations’ data., Exhibits and evidences., PII and PHI records., Confidential customer information.., Mailboxes & internal and external email correspondence.","usa, law","Nov 8, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/klnivenlaw.com/,1.8 Tb
"Immuno Laboratories, Inc","Lab operational data, Medical data, Contracts and NDA’s, Passports and ID’s, Business files., Accounting data., HR Folders., File server data., Network users folders","usa, health","Nov 8, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/immunolabs.com/,1.2 Tb
Sherr Puttmann Akins Lamb PC,"Personal Data., Financial documents., Contract data and NDA’s., Business correspondence., Files from CFO PC., Confidential customer information., Email and msg archives., Database, Court cases","usa, law","Nov 5, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/spalfamilylaw.com/,1 Tb
Falco Sult,"Clients Personal Data., Employees Personal Data, Accounting Data, Sql base, Mailboxes","us, acounting","Nov 4, 2024",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/falcosult.com/,2.2 Tb
